"dt_sin_pri","n.casos"
2020-02-17,1
2020-02-25,1
2020-03-07,1
2020-03-08,1
2020-03-09,3
2020-03-10,5
2020-03-11,2
2020-03-13,3
2020-03-14,5
2020-03-15,6
2020-03-16,5
2020-03-17,10
2020-03-18,22
2020-03-19,8
2020-03-20,37
2020-03-21,21
2020-03-22,15
2020-03-23,21
2020-03-24,23
2020-03-25,29
2020-03-26,25
2020-03-27,23
2020-03-28,17
2020-03-29,14
2020-03-30,28
2020-03-31,19
2020-04-01,35
2020-04-02,30
2020-04-03,24
2020-04-04,22
2020-04-05,25
2020-04-06,35
2020-04-07,25
2020-04-08,31
2020-04-09,29
2020-04-10,46
2020-04-11,42
2020-04-12,31
2020-04-13,40
2020-04-14,25
2020-04-15,37
2020-04-16,29
2020-04-17,28
2020-04-18,42
2020-04-19,36
2020-04-20,26
2020-04-21,12
2020-04-22,13
2020-04-23,12
2020-04-24,9
2020-04-25,7
2020-04-26,5
2020-04-27,4
2020-04-28,1
2020-05-02,2
