"estimate","lower","upper","onset_date","n.reported"
15,15,15,2020-03-24,15
17,17,17,2020-03-25,17
16,16,16,2020-03-26,16
12,12,12,2020-03-27,12
17,17,17,2020-03-28,17
12,12,12,2020-03-29,12
22,22,22,2020-03-30,22
31,31,31,2020-03-31,31
25,25,25,2020-04-01,25
36,36,36,2020-04-02,36
35,35,35,2020-04-03,35
35,35,37,2020-04-04,35
35,35,37,2020-04-05,35
37,37,41,2020-04-06,37
44,43,48,2020-04-07,43
39,38,44,2020-04-08,38
41,39,47,2020-04-09,39
54,51,60,2020-04-10,51
48,44,54,2020-04-11,44
66,61,73,2020-04-12,59
70,64,78,2020-04-13,61
62,56,71,2020-04-14,52
72,65,81,2020-04-15,59
68,60,78,2020-04-16,53
68,59,79,2020-04-17,51
79,69,91,2020-04-18,57
99,87,114,2020-04-19,70
118,104,136,2020-04-20,81
93,79,109,2020-04-21,55
110,94,128,2020-04-22,66
94,78,114,2020-04-23,48
125,106,148,2020-04-24,66
121,101,146,2020-04-25,56
105,84,129,2020-04-26,41
96,75,121,2020-04-27,31
123,99,151,2020-04-28,45
119,94,150,2020-04-29,36
111,86,143,2020-04-30,29
87,60,121,2020-05-01,10
86,55,127,2020-05-02,6
